uid	scene	sent	type	bucket	context	text	guess_speaker	guess_conf	gold_speaker	target	checked	note
1-68	1	68	action	物理	不安的理由，并非是缪莉的行踪依然不清楚，也并非是接下来的冬日旅路要面临诸多艰辛，而是更低俗的，更易懂的，可能还会让一些人大跌眼镜的问题。 ‖ 罗伦斯担心的是，与艾尔莎等人度过了意想不到、头晕目眩的热闹日子之后接踵而来的，那种挥之不去的寂寞感。 ‖ 野猫一样的师傅之所以不愿与人深交，或许是因为他实在是谨慎极了，胆小极了，宁可舍弃旅途人脉带来的商机，也不愿意被退潮一样的寂寥感缠身。罗伦斯不禁在心中如此猜想。 ‖ ►罗伦斯与他的告别也是一样唐突。某日早上睁开眼睛，师傅就消失了踪影。 ‖ 被丢下了，被舍弃了，还想再让师傅陪自己走一程——这些想法都没有在罗伦斯的脑海里出现过。原因是他忽地变成了孤零零的一个人，单是为了活下去，就要竭尽全力，使出吃奶的劲来。他无暇去想。 ‖ 终于能以旅行商人的身份安稳下来，再想起与师傅的离别时，过去的记忆都已经被磨平了棱角，没带来什么剧痛就沉降到了内心深处。	罗伦斯与他的告别也是一样唐突。某日早上睁开眼睛，师傅就消失了踪影。	罗伦斯	0.55	罗伦斯			
1-69	1	69	action	心理	罗伦斯担心的是，与艾尔莎等人度过了意想不到、头晕目眩的热闹日子之后接踵而来的，那种挥之不去的寂寞感。 ‖ 野猫一样的师傅之所以不愿与人深交，或许是因为他实在是谨慎极了，胆小极了，宁可舍弃旅途人脉带来的商机，也不愿意被退潮一样的寂寥感缠身。罗伦斯不禁在心中如此猜想。 ‖ 罗伦斯与他的告别也是一样唐突。某日早上睁开眼睛，师傅就消失了踪影。 ‖ ►被丢下了，被舍弃了，还想再让师傅陪自己走一程——这些想法都没有在罗伦斯的脑海里出现过。原因是他忽地变成了孤零零的一个人，单是为了活下去，就要竭尽全力，使出吃奶的劲来。他无暇去想。 ‖ 终于能以旅行商人的身份安稳下来，再想起与师傅的离别时，过去的记忆都已经被磨平了棱角，没带来什么剧痛就沉降到了内心深处。 ‖ 那一定是师傅表达的体贴。如今，罗伦斯在心中得出了这样的结论。	被丢下了，被舍弃了，还想再让师傅陪自己走一程——这些想法都没有在罗伦斯的脑海里出现过。原因是他忽地变成了孤零零的一个人，单是为了活下去，就要竭尽全力，使出吃奶的劲来。他无暇去想。	罗伦斯	0.55	罗伦斯			
1-70	1	70	action	心理	野猫一样的师傅之所以不愿与人深交，或许是因为他实在是谨慎极了，胆小极了，宁可舍弃旅途人脉带来的商机，也不愿意被退潮一样的寂寥感缠身。罗伦斯不禁在心中如此猜想。 ‖ 罗伦斯与他的告别也是一样唐突。某日早上睁开眼睛，师傅就消失了踪影。 ‖ 被丢下了，被舍弃了，还想再让师傅陪自己走一程——这些想法都没有在罗伦斯的脑海里出现过。原因是他忽地变成了孤零零的一个人，单是为了活下去，就要竭尽全力，使出吃奶的劲来。他无暇去想。 ‖ ►终于能以旅行商人的身份安稳下来，再想起与师傅的离别时，过去的记忆都已经被磨平了棱角，没带来什么剧痛就沉降到了内心深处。 ‖ 那一定是师傅表达的体贴。如今，罗伦斯在心中得出了这样的结论。 ‖ 当初显得漫不经心，过后才渐渐明白其分量。那个性格偏颇的师傅如此的方法论是否正确，尚有一番议论余地，无论如何，罗伦斯确实是学到了何为气魄。回顾自己的人生路，他甚至觉得这一点才是最为宝贵的，胜过他学到的其他任何关于经商的技巧。	终于能以旅行商人的身份安稳下来，再想起与师傅的离别时，过去的记忆都已经被磨平了棱角，没带来什么剧痛就沉降到了内心深处。	罗伦斯	0.55	罗伦斯			
1-71	1	71	action	物理	罗伦斯与他的告别也是一样唐突。某日早上睁开眼睛，师傅就消失了踪影。 ‖ 被丢下了，被舍弃了，还想再让师傅陪自己走一程——这些想法都没有在罗伦斯的脑海里出现过。原因是他忽地变成了孤零零的一个人，单是为了活下去，就要竭尽全力，使出吃奶的劲来。他无暇去想。 ‖ 终于能以旅行商人的身份安稳下来，再想起与师傅的离别时，过去的记忆都已经被磨平了棱角，没带来什么剧痛就沉降到了内心深处。 ‖ ►那一定是师傅表达的体贴。如今，罗伦斯在心中得出了这样的结论。 ‖ 当初显得漫不经心，过后才渐渐明白其分量。那个性格偏颇的师傅如此的方法论是否正确，尚有一番议论余地，无论如何，罗伦斯确实是学到了何为气魄。回顾自己的人生路，他甚至觉得这一点才是最为宝贵的，胜过他学到的其他任何关于经商的技巧。 ‖ 那么，自己也要在旅伴面对同样的境遇时，好好对她关心一番才行。	那一定是师傅表达的体贴。如今，罗伦斯在心中得出了这样的结论。	罗伦斯	0.55	罗伦斯			
1-72	1	72	action	心理	被丢下了，被舍弃了，还想再让师傅陪自己走一程——这些想法都没有在罗伦斯的脑海里出现过。原因是他忽地变成了孤零零的一个人，单是为了活下去，就要竭尽全力，使出吃奶的劲来。他无暇去想。 ‖ 终于能以旅行商人的身份安稳下来，再想起与师傅的离别时，过去的记忆都已经被磨平了棱角，没带来什么剧痛就沉降到了内心深处。 ‖ 那一定是师傅表达的体贴。如今，罗伦斯在心中得出了这样的结论。 ‖ ►当初显得漫不经心，过后才渐渐明白其分量。那个性格偏颇的师傅如此的方法论是否正确，尚有一番议论余地，无论如何，罗伦斯确实是学到了何为气魄。回顾自己的人生路，他甚至觉得这一点才是最为宝贵的，胜过他学到的其他任何关于经商的技巧。 ‖ 那么，自己也要在旅伴面对同样的境遇时，好好对她关心一番才行。 ‖ ——你的徒弟如今也应该算是个响当当的商人了。罗伦斯对着记忆中的师傅说完，一口气喝干了剩下的麦酒。	当初显得漫不经心，过后才渐渐明白其分量。那个性格偏颇的师傅如此的方法论是否正确，尚有一番议论余地，无论如何，罗伦斯确实是学到了何为气魄。回顾自己的人生路，他甚至觉得这一点才是最为宝贵的，胜过他学到的其他任何关于经商的技巧。	罗伦斯	0.55	罗伦斯			
1-73	1	73	action	物理	终于能以旅行商人的身份安稳下来，再想起与师傅的离别时，过去的记忆都已经被磨平了棱角，没带来什么剧痛就沉降到了内心深处。 ‖ 那一定是师傅表达的体贴。如今，罗伦斯在心中得出了这样的结论。 ‖ 当初显得漫不经心，过后才渐渐明白其分量。那个性格偏颇的师傅如此的方法论是否正确，尚有一番议论余地，无论如何，罗伦斯确实是学到了何为气魄。回顾自己的人生路，他甚至觉得这一点才是最为宝贵的，胜过他学到的其他任何关于经商的技巧。 ‖ ►那么，自己也要在旅伴面对同样的境遇时，好好对她关心一番才行。 ‖ ——你的徒弟如今也应该算是个响当当的商人了。罗伦斯对着记忆中的师傅说完，一口气喝干了剩下的麦酒。 ‖ 窗外，已然成为撒罗尼亚城中名人的赫萝，正与五大三粗的挑夫面对面地喝着交杯酒。	那么，自己也要在旅伴面对同样的境遇时，好好对她关心一番才行。	艾尔莎	0.30	艾尔莎			
1-74	1	74	action	物理	那一定是师傅表达的体贴。如今，罗伦斯在心中得出了这样的结论。 ‖ 当初显得漫不经心，过后才渐渐明白其分量。那个性格偏颇的师傅如此的方法论是否正确，尚有一番议论余地，无论如何，罗伦斯确实是学到了何为气魄。回顾自己的人生路，他甚至觉得这一点才是最为宝贵的，胜过他学到的其他任何关于经商的技巧。 ‖ 那么，自己也要在旅伴面对同样的境遇时，好好对她关心一番才行。 ‖ ►——你的徒弟如今也应该算是个响当当的商人了。罗伦斯对着记忆中的师傅说完，一口气喝干了剩下的麦酒。 ‖ 窗外，已然成为撒罗尼亚城中名人的赫萝，正与五大三粗的挑夫面对面地喝着交杯酒。 ‖ “明天她大概要宿醉，看来出发不是后天，就是大后天了。”	——你的徒弟如今也应该算是个响当当的商人了。罗伦斯对着记忆中的师傅说完，一口气喝干了剩下的麦酒。	罗伦斯	0.55	罗伦斯			
1-75	1	75	action	物理	当初显得漫不经心，过后才渐渐明白其分量。那个性格偏颇的师傅如此的方法论是否正确，尚有一番议论余地，无论如何，罗伦斯确实是学到了何为气魄。回顾自己的人生路，他甚至觉得这一点才是最为宝贵的，胜过他学到的其他任何关于经商的技巧。 ‖ 那么，自己也要在旅伴面对同样的境遇时，好好对她关心一番才行。 ‖ ——你的徒弟如今也应该算是个响当当的商人了。罗伦斯对着记忆中的师傅说完，一口气喝干了剩下的麦酒。 ‖ ►窗外，已然成为撒罗尼亚城中名人的赫萝，正与五大三粗的挑夫面对面地喝着交杯酒。 ‖ “明天她大概要宿醉，看来出发不是后天，就是大后天了。” ‖ 罗伦斯自言自语地说完，然后站起身来，拿起外套走出了旅舍。	窗外，已然成为撒罗尼亚城中名人的赫萝，正与五大三粗的挑夫面对面地喝着交杯酒。	赫萝	0.55	赫萝			
1-76	1	76	dialogue	anaphoric	那么，自己也要在旅伴面对同样的境遇时，好好对她关心一番才行。 ‖ ——你的徒弟如今也应该算是个响当当的商人了。罗伦斯对着记忆中的师傅说完，一口气喝干了剩下的麦酒。 ‖ 窗外，已然成为撒罗尼亚城中名人的赫萝，正与五大三粗的挑夫面对面地喝着交杯酒。 ‖ ►“明天她大概要宿醉，看来出发不是后天，就是大后天了。” ‖ 罗伦斯自言自语地说完，然后站起身来，拿起外套走出了旅舍。 ‖ 仍旧开着的木窗外，喝干了酒的赫萝高举起大酒杯，接受着众人的欢呼喝彩。	明天她大概要宿醉，看来出发不是后天，就是大后天了。	罗伦斯	0.65	罗伦斯	赫萝	y	
1-77	1	77	action	物理	——你的徒弟如今也应该算是个响当当的商人了。罗伦斯对着记忆中的师傅说完，一口气喝干了剩下的麦酒。 ‖ 窗外，已然成为撒罗尼亚城中名人的赫萝，正与五大三粗的挑夫面对面地喝着交杯酒。 ‖ “明天她大概要宿醉，看来出发不是后天，就是大后天了。” ‖ ►罗伦斯自言自语地说完，然后站起身来，拿起外套走出了旅舍。 ‖ 仍旧开着的木窗外，喝干了酒的赫萝高举起大酒杯，接受着众人的欢呼喝彩。	罗伦斯自言自语地说完，然后站起身来，拿起外套走出了旅舍。	罗伦斯	0.55	罗伦斯			
1-78	1	78	action	物理	窗外，已然成为撒罗尼亚城中名人的赫萝，正与五大三粗的挑夫面对面地喝着交杯酒。 ‖ “明天她大概要宿醉，看来出发不是后天，就是大后天了。” ‖ 罗伦斯自言自语地说完，然后站起身来，拿起外套走出了旅舍。 ‖ ►仍旧开着的木窗外，喝干了酒的赫萝高举起大酒杯，接受着众人的欢呼喝彩。	仍旧开着的木窗外，喝干了酒的赫萝高举起大酒杯，接受着众人的欢呼喝彩。	赫萝	0.55	赫萝			
